iter	RMSE
0	777.7792489
1	767.8541577
2	757.7251718
3	749.8704505
4	741.3073152
5	733.3535947
6	726.0252809
7	717.1724636
8	709.0028512
9	702.2268151
10	694.4333646
11	686.8942478
12	677.8933579
13	670.7597584
14	663.2211179
15	656.6339494
16	649.0524195
17	642.4605756
18	634.7799032
19	628.1769856
20	620.2722167
21	613.4733327
22	607.7465354
23	601.7087098
24	594.7363383
25	587.1118671
26	580.0947058
27	573.4618782
28	567.0102765
29	560.9239355
30	554.2568869
31	548.4292662
32	542.7274675
33	537.4426627
34	531.0641523
35	525.5927198
36	520.1045475
37	513.9506174
38	508.4327268
39	503.5462527
40	498.5059442
41	493.9741139
42	488.5222853
43	484.4427524
44	479.4033825
45	475.3571534
46	470.7721923
47	466.8352357
48	461.6983215
49	457.692812
50	452.7811295
51	448.2042559
52	443.1616172
53	439.2033211
54	435.1840354
55	430.6277832
56	427.0114769
57	422.7152776
58	418.7708005
59	414.629375
60	410.6203068
61	407.0161787
62	403.2911377
63	399.315531
64	395.5848264
65	392.7784419
66	389.1534119
67	385.4376416
68	381.8508812
69	378.3785197
70	374.8389893
71	371.5448926
72	367.7594945
73	364.4600364
74	361.5644233
75	357.7872646
76	355.5476876
77	352.4562298
78	349.1876607
79	346.1440835
80	343.534132
81	339.8749088
82	337.1297972
83	334.7475448
84	332.8405654
85	329.5744095
86	327.0569275
87	324.6566566
88	322.235295
89	319.7562862
90	316.7721923
91	314.040513
92	311.2872519
93	308.8028792
94	306.1579981
95	303.8194266
96	301.7227087
97	299.3872903
98	297.3750263
99	295.0926399
100	292.6211703
101	290.7712784
102	288.9239499
103	286.7609582
104	284.6088942
105	282.1207595
106	279.9208982
107	277.8955792
108	276.3303849
109	274.2428176
110	272.3572225
111	270.6385513
112	268.5673853
113	266.5009114
114	264.5728614
115	262.3552815
116	260.2197108
117	258.0127681
118	256.1471903
119	254.787562
120	253.2039377
121	251.7838194
122	249.9720257
123	248.1457726
124	246.3234484
125	244.7514761
126	243.1043821
127	241.9343241
128	239.9113992
129	238.4133361
130	236.65964
131	235.1478756
132	233.8994378
133	232.152125
134	230.5205762
135	229.084598
136	227.1414575
137	225.7126963
138	224.6643338
139	223.5380993
140	222.3189646
141	220.3749935
142	218.7681762
143	217.3388457
144	216.0938746
145	214.7427739
146	213.3946539
147	212.1041018
148	210.8109871
149	209.2859969
150	207.9373256
151	206.8752711
152	205.2533535
153	204.0392245
154	202.8546416
155	202.1350232
156	200.512799
157	199.2528166
158	197.9973451
159	196.9634672
160	195.6375439
161	194.6689232
162	193.4566195
163	192.1087481
164	190.8643591
165	189.5255631
166	188.1519016
167	186.5124388
168	185.6012496
169	184.1588215
170	182.8724265
171	181.5401513
172	180.9127126
173	179.767372
174	178.9194057
175	177.7973277
176	176.4540613
