iter	Passed	Remaining
0	0	434
1	0	348
2	0	277
3	1	287
4	1	294
5	1	279
6	2	287
7	2	303
8	2	319
9	3	317
10	3	323
11	4	331
12	4	316
13	4	310
14	4	313
15	5	310
16	5	319
17	5	315
18	5	306
19	6	303
20	6	298
21	6	296
22	6	293
23	7	291
24	7	291
25	7	292
26	8	288
27	8	291
28	8	294
29	9	294
30	9	290
31	9	286
32	10	295
33	10	292
34	10	295
35	11	297
36	11	294
37	11	289
38	11	289
39	12	289
40	12	289
41	12	289
42	12	288
43	13	286
44	13	286
45	13	285
46	14	284
47	14	282
48	14	282
49	14	281
50	15	285
51	15	282
52	15	282
53	16	282
54	16	281
55	16	279
56	16	280
57	17	280
58	17	278
59	17	275
60	17	275
61	18	274
62	18	274
63	18	270
64	18	270
65	19	270
66	19	269
67	19	269
68	19	267
69	20	265
70	20	265
71	20	264
72	20	262
73	20	262
74	21	262
75	21	261
76	21	260
77	21	259
78	22	258
79	22	257
80	22	257
81	22	255
82	23	255
83	23	254
84	23	252
85	23	251
86	24	251
87	24	251
88	24	250
89	24	249
90	24	249
91	25	248
92	25	246
93	25	245
94	25	245
95	25	243
96	26	242
97	26	242
98	26	241
99	26	241
100	27	240
101	27	240
102	27	239
103	27	239
104	28	239
105	28	238
106	28	238
107	28	238
108	29	237
109	29	238
110	29	238
111	30	238
112	30	237
113	30	237
114	30	237
115	31	237
116	31	237
117	31	237
118	32	237
119	32	237
120	32	236
121	32	236
122	33	235
123	33	235
124	33	234
125	33	234
126	33	233
127	34	232
128	34	233
129	34	232
130	34	231
131	35	231
132	35	230
133	35	230
134	36	230
135	36	230
136	36	230
137	36	229
138	36	228
139	37	229
140	37	228
141	37	228
142	38	227
143	38	227
144	38	227
145	38	228
146	39	227
147	39	227
148	39	226
149	40	226
150	40	226
151	40	225
152	40	225
153	40	225
154	41	224
155	41	224
156	41	223
157	41	223
158	42	223
159	42	223
160	42	223
161	43	222
162	43	222
163	43	222
164	44	223
165	44	223
166	44	223
167	45	223
168	45	223
169	45	222
170	45	222
171	46	223
172	46	222
173	46	222
174	47	221
175	47	222
176	48	223
177	48	223
178	48	224
179	49	224
180	49	224
181	50	225
182	50	225
183	50	224
184	51	224
185	51	224
186	51	224
187	51	224
188	52	224
189	52	224
190	52	223
191	53	223
192	53	222
193	53	222
194	53	222
195	54	222
196	54	221
197	54	221
198	55	222
199	55	222
200	55	221
201	56	221
202	56	221
203	56	220
204	56	220
205	56	219
206	57	218
207	57	218
208	57	218
209	57	217
210	58	217
211	58	216
212	58	216
213	58	215
214	59	215
215	59	215
216	59	214
217	59	214
218	59	213
219	60	213
220	60	212
221	60	212
222	60	212
223	61	211
224	61	211
225	61	211
226	61	210
227	62	210
228	62	210
229	62	210
230	63	209
231	63	209
232	63	209
233	63	209
234	64	209
235	64	208
236	64	208
237	65	208
238	65	207
239	65	206
240	65	206
241	65	206
242	65	205
243	66	204
244	66	204
245	66	204
246	66	204
247	67	203
248	67	203
249	67	203
250	68	203
251	68	202
252	68	202
253	68	201
254	69	201
255	69	201
256	69	201
257	69	200
258	70	200
259	70	200
260	70	199
261	70	199
262	71	199
263	71	198
264	71	198
265	71	198
266	72	198
267	72	197
268	72	197
269	72	196
270	73	196
271	73	195
272	73	195
273	73	195
274	73	194
275	74	194
276	74	193
277	74	193
278	74	192
279	74	192
280	75	192
281	75	191
282	75	191
283	75	190
284	75	190
285	75	189
286	76	189
287	76	189
288	76	188
289	76	188
290	77	188
291	77	187
292	77	187
293	77	186
294	77	186
295	78	186
296	78	185
297	78	185
298	78	184
299	79	184
300	79	184
301	79	183
302	79	183
303	79	183
304	80	182
305	80	182
306	80	181
307	80	181
308	80	181
309	81	181
310	81	180
311	81	180
312	81	179
313	82	179
314	82	179
315	82	178
316	82	178
317	82	177
318	83	177
319	83	177
320	83	176
321	83	176
322	83	175
323	84	175
324	84	175
325	84	174
326	84	174
327	84	173
328	85	173
329	85	173
330	85	173
331	85	172
332	86	172
333	86	172
334	86	172
335	87	172
336	87	171
337	87	171
338	87	170
339	87	170
340	88	170
341	88	169
342	88	169
343	88	169
344	89	169
345	89	168
346	89	168
347	89	168
348	89	167
349	90	167
350	90	167
351	90	167
352	90	166
353	91	166
354	91	166
355	91	165
356	91	165
357	92	165
358	92	165
359	92	164
360	92	164
361	93	164
362	93	164
363	93	163
364	93	163
365	94	163
366	94	162
367	94	162
368	94	162
369	95	161
370	95	161
371	95	161
372	95	161
373	96	160
374	96	160
375	96	160
376	96	159
377	96	159
378	97	159
379	97	158
380	97	158
381	97	158
382	98	157
383	98	157
384	98	157
385	98	157
386	99	156
387	99	156
388	99	156
389	100	156
390	100	156
391	100	156
392	100	155
393	101	155
394	101	155
395	101	155
396	101	154
397	102	154
398	102	154
399	102	153
400	102	153
401	103	153
402	103	153
403	103	152
404	103	152
405	104	152
406	104	152
407	105	153
408	105	152
409	107	154
410	107	154
411	107	153
412	108	153
413	108	153
414	108	153
415	108	152
416	109	152
417	109	152
418	109	152
419	110	152
420	110	151
421	110	151
422	111	151
423	111	151
424	111	151
425	111	150
426	112	150
427	112	150
428	112	150
429	113	149
430	113	149
431	113	149
432	113	149
433	114	148
434	114	148
435	114	148
436	115	148
437	115	147
438	115	147
439	115	147
440	116	147
441	116	146
442	116	146
443	116	146
444	117	145
445	117	145
446	117	145
447	117	145
448	118	144
449	118	144
450	118	144
451	118	144
452	119	143
453	119	143
454	119	143
455	120	143
456	120	142
457	120	142
458	120	142
459	121	142
460	121	142
461	121	141
462	122	141
463	122	141
464	122	140
465	122	140
466	122	140
467	123	140
468	123	139
469	123	139
470	124	139
471	124	139
472	124	138
473	125	138
474	125	138
475	125	138
476	125	137
477	126	138
478	126	137
479	126	137
480	127	137
481	127	136
482	127	136
483	128	136
484	129	136
485	129	136
486	129	136
487	129	136
488	130	135
489	130	135
490	130	135
491	131	135
492	131	135
493	131	134
494	131	134
495	132	134
496	132	133
497	132	133
498	132	133
499	132	132
500	133	132
501	133	132
502	134	132
503	134	132
504	134	131
505	134	131
506	135	131
507	135	131
508	135	130
509	135	130
510	136	130
511	136	129
512	136	129
513	136	129
514	137	129
515	137	129
516	137	128
517	138	128
518	138	128
519	138	128
520	139	127
521	139	127
522	139	127
523	139	126
524	139	126
525	140	126
526	140	125
527	140	125
528	141	125
529	141	125
530	142	125
531	142	125
532	142	124
533	142	124
534	143	124
535	143	124
536	144	124
537	144	123
538	144	123
539	144	123
540	145	123
541	145	122
542	145	122
543	145	122
544	146	122
545	146	121
546	146	121
547	146	121
548	147	120
549	147	120
550	147	120
551	148	120
552	148	120
553	148	119
554	148	119
555	149	119
556	149	118
557	149	118
558	150	118
559	150	118
560	150	117
561	150	117
562	151	117
563	151	117
564	151	116
565	151	116
566	152	116
567	152	115
568	152	115
569	153	115
570	153	115
571	153	115
572	153	114
573	154	114
574	154	114
575	154	113
576	155	113
577	155	113
578	155	113
579	155	112
580	156	112
581	156	112
582	156	112
583	156	111
584	157	111
585	157	111
586	157	111
587	158	110
588	158	110
589	158	110
590	159	110
591	159	109
592	159	109
593	159	109
594	160	108
595	160	108
596	160	108
597	160	108
598	161	107
599	161	107
600	161	107
601	161	107
602	162	106
603	162	106
604	162	106
605	162	105
606	163	105
607	163	105
608	163	105
609	163	104
610	164	104
611	164	104
612	164	104
613	165	103
614	165	103
615	165	103
616	165	102
617	166	102
618	166	102
619	166	102
620	166	101
621	167	101
622	167	101
623	167	101
624	167	100
625	168	100
626	168	100
627	168	99
628	169	99
629	169	99
630	169	99
631	169	98
632	169	98
633	170	98
634	170	97
635	170	97
636	170	97
637	171	97
638	171	96
639	171	96
640	171	96
641	172	96
642	172	95
643	172	95
644	173	95
645	173	94
646	173	94
647	173	94
648	173	94
649	174	93
650	174	93
651	174	93
652	174	92
653	174	92
654	175	92
655	175	92
656	175	91
657	175	91
658	176	91
659	176	90
660	176	90
661	176	90
662	176	89
663	177	89
664	177	89
665	177	89
666	177	88
667	178	88
668	178	88
669	178	87
670	178	87
671	178	87
672	179	87
673	179	86
674	179	86
675	179	86
676	180	85
677	180	85
678	180	85
679	180	85
680	180	84
681	181	84
682	181	84
683	181	83
684	181	83
685	181	83
686	182	83
687	182	82
688	182	82
689	182	82
690	183	81
691	183	81
692	183	81
693	183	81
694	184	80
695	184	80
696	184	80
697	185	80
698	185	79
699	185	79
700	185	79
701	186	79
702	186	78
703	186	78
704	186	78
705	187	77
706	187	77
707	187	77
708	187	77
709	188	76
710	188	76
711	188	76
712	188	75
713	188	75
714	188	75
715	189	75
716	189	74
717	189	74
718	189	74
719	190	73
720	190	73
721	190	73
722	190	73
723	191	72
724	191	72
725	191	72
726	191	72
727	192	71
728	192	71
729	192	71
730	192	70
731	192	70
732	193	70
733	193	70
734	193	69
735	193	69
736	194	69
737	194	68
738	194	68
739	194	68
740	194	68
741	195	67
742	195	67
743	195	67
744	195	67
745	196	66
746	196	66
747	196	66
748	196	65
749	197	65
750	197	65
751	197	65
752	197	64
753	198	64
754	198	64
755	198	64
756	198	63
757	198	63
758	199	63
759	199	62
760	199	62
761	199	62
762	200	62
763	200	61
764	200	61
765	200	61
766	201	61
767	201	60
768	201	60
769	201	60
770	201	59
771	202	59
772	202	59
773	202	59
774	202	58
775	202	58
776	203	58
777	203	57
778	203	57
779	203	57
780	203	57
781	203	56
782	204	56
783	204	56
784	204	56
785	204	55
786	204	55
787	205	55
788	205	54
789	205	54
790	205	54
791	205	54
792	205	53
793	206	53
794	206	53
795	206	52
796	206	52
797	207	52
798	207	52
799	207	51
800	207	51
801	207	51
802	208	51
803	208	50
804	208	50
805	208	50
806	208	49
807	208	49
808	209	49
809	209	49
810	209	48
811	209	48
812	209	48
813	210	48
814	210	47
815	210	47
816	210	47
817	210	46
818	211	46
819	211	46
820	211	46
821	211	45
822	211	45
823	212	45
824	212	45
825	212	44
826	212	44
827	212	44
828	213	43
829	213	43
830	213	43
831	213	43
832	213	42
833	214	42
834	214	42
835	214	42
836	214	41
837	214	41
838	215	41
839	215	41
840	215	40
841	215	40
842	215	40
843	216	39
844	216	39
845	216	39
846	216	39
847	217	38
848	217	38
849	217	38
850	217	38
851	217	37
852	218	37
853	218	37
854	218	37
855	218	36
856	218	36
857	218	36
858	219	35
859	219	35
860	219	35
861	219	35
862	219	34
863	220	34
864	220	34
865	220	34
866	220	33
867	220	33
868	221	33
869	221	33
870	221	32
871	221	32
872	221	32
873	222	32
874	222	31
875	222	31
876	222	31
877	222	30
878	223	30
879	223	30
880	223	30
881	223	29
882	223	29
883	224	29
884	224	29
885	224	28
886	224	28
887	224	28
888	225	28
889	225	27
890	225	27
891	225	27
892	225	27
893	225	26
894	226	26
895	226	26
896	226	25
897	226	25
898	226	25
899	226	25
900	227	24
901	227	24
902	227	24
903	227	24
904	227	23
905	228	23
906	228	23
907	228	23
908	228	22
909	228	22
910	229	22
911	229	22
912	229	21
913	229	21
914	229	21
915	230	21
916	230	20
917	230	20
918	230	20
919	230	20
920	231	19
921	231	19
922	231	19
923	231	19
924	232	18
925	232	18
926	232	18
927	232	18
928	233	17
929	233	17
930	233	17
931	233	17
932	234	16
933	234	16
934	234	16
935	234	16
936	234	15
937	235	15
938	235	15
939	235	15
940	235	14
941	236	14
942	236	14
943	236	14
944	236	13
945	236	13
946	236	13
947	237	13
948	237	12
949	237	12
950	237	12
951	238	12
952	238	11
953	238	11
954	238	11
955	238	10
956	239	10
957	239	10
958	239	10
959	239	9
960	240	9
961	240	9
962	240	9
963	240	8
964	241	8
965	241	8
966	241	8
967	241	7
968	241	7
969	242	7
970	242	7
971	242	6
972	242	6
973	243	6
974	243	6
975	243	5
976	243	5
977	243	5
978	244	5
979	244	4
980	244	4
981	244	4
982	244	4
983	245	3
984	245	3
985	245	3
986	245	3
987	245	2
988	245	2
989	246	2
990	246	2
991	246	1
992	246	1
993	246	1
994	246	1
995	247	0
996	247	0
997	247	0
998	247	0
999	247	0
