Year,Location,Total Sentences
1981,Total Regions,125574
1981,Te Tai Tokerau Justice Service Area,3977
1981,Auckland Justice Service Area,14318
1981,South Auckland Justice Service Area,12388
1981,Waikato Justice Service Area,7199
1981,Bay of Plenty Justice Service Area,3587
1981,Waiariki Justice Service Area,5672
1981,East Coast Justice Service Area,8579
1981,Taranaki/Whanganui Justice Service Area,10477
1981,Manawatū/Wairarapa Justice Service Area,3588
1981,Northern Wellington Justice Service Area,2316
1981,Wellington Justice Service Area,3968
1981,Nelson/Marlborough/West Coast Justice Service Area,4652
1981,Canterbury Justice Service Area,21299
1981,Otago Justice Service Area,11026
1981,Southland Justice Service Area,3396
1982,Total Regions,135473
1982,Te Tai Tokerau Justice Service Area,4600
1982,Auckland Justice Service Area,11595
1982,South Auckland Justice Service Area,10573
1982,Waikato Justice Service Area,9498
1982,Bay of Plenty Justice Service Area,4709
1982,Waiariki Justice Service Area,7328
1982,East Coast Justice Service Area,7049
1982,Taranaki/Whanganui Justice Service Area,8331
1982,Manawatū/Wairarapa Justice Service Area,8001
1982,Northern Wellington Justice Service Area,4720
1982,Wellington Justice Service Area,11866
1982,Nelson/Marlborough/West Coast Justice Service Area,4302
1982,Canterbury Justice Service Area,20064
1982,Otago Justice Service Area,10866
1982,Southland Justice Service Area,4195
1983,Total Regions,88965
1983,Te Tai Tokerau Justice Service Area,2440
1983,Auckland Justice Service Area,10598
1983,South Auckland Justice Service Area,7601
1983,Waikato Justice Service Area,5824
1983,Bay of Plenty Justice Service Area,3902
1983,Waiariki Justice Service Area,5511
1983,East Coast Justice Service Area,4707
1983,Taranaki/Whanganui Justice Service Area,5013
1983,Manawatū/Wairarapa Justice Service Area,4980
1983,Northern Wellington Justice Service Area,4490
1983,Wellington Justice Service Area,8738
1983,Nelson/Marlborough/West Coast Justice Service Area,2560
1983,Canterbury Justice Service Area,8133
1983,Otago Justice Service Area,5943
1983,Southland Justice Service Area,3268
1984,Total Regions,81839
1984,Te Tai Tokerau Justice Service Area,2229
1984,Auckland Justice Service Area,9264
1984,South Auckland Justice Service Area,7767
1984,Waikato Justice Service Area,5579
1984,Bay of Plenty Justice Service Area,3385
1984,Waiariki Justice Service Area,4884
1984,East Coast Justice Service Area,4419
1984,Taranaki/Whanganui Justice Service Area,3978
1984,Manawatū/Wairarapa Justice Service Area,4281
1984,Northern Wellington Justice Service Area,3460
1984,Wellington Justice Service Area,8718
1984,Nelson/Marlborough/West Coast Justice Service Area,2643
1984,Canterbury Justice Service Area,8410
1984,Otago Justice Service Area,4884
1984,Southland Justice Service Area,3330
1985,Total Regions,80925
1985,Te Tai Tokerau Justice Service Area,2597
1985,Auckland Justice Service Area,10345
1985,South Auckland Justice Service Area,7963
1985,Waikato Justice Service Area,5222
1985,Bay of Plenty Justice Service Area,3241
1985,Waiariki Justice Service Area,4206
1985,East Coast Justice Service Area,4366
1985,Taranaki/Whanganui Justice Service Area,3840
1985,Manawatū/Wairarapa Justice Service Area,4845
1985,Northern Wellington Justice Service Area,3561
1985,Wellington Justice Service Area,6327
1985,Nelson/Marlborough/West Coast Justice Service Area,2822
1985,Canterbury Justice Service Area,8357
1985,Otago Justice Service Area,5422
1985,Southland Justice Service Area,2862
1986,Total Regions,81448
1986,Te Tai Tokerau Justice Service Area,3416
1986,Auckland Justice Service Area,9364
1986,South Auckland Justice Service Area,8103
1986,Waikato Justice Service Area,4618
1986,Bay of Plenty Justice Service Area,3307
1986,Waiariki Justice Service Area,4165
1986,East Coast Justice Service Area,4479
1986,Taranaki/Whanganui Justice Service Area,3922
1986,Manawatū/Wairarapa Justice Service Area,4685
1986,Northern Wellington Justice Service Area,3445
1986,Wellington Justice Service Area,6028
1986,Nelson/Marlborough/West Coast Justice Service Area,2599
1986,Canterbury Justice Service Area,8845
1986,Otago Justice Service Area,6055
1986,Southland Justice Service Area,3134
1987,Total Regions,81692
1987,Te Tai Tokerau Justice Service Area,2994
1987,Auckland Justice Service Area,8826
1987,South Auckland Justice Service Area,7907
1987,Waikato Justice Service Area,4926
1987,Bay of Plenty Justice Service Area,3719
1987,Waiariki Justice Service Area,4353
1987,East Coast Justice Service Area,4821
1987,Taranaki/Whanganui Justice Service Area,4267
1987,Manawatū/Wairarapa Justice Service Area,4776
1987,Northern Wellington Justice Service Area,3416
1987,Wellington Justice Service Area,6027
1987,Nelson/Marlborough/West Coast Justice Service Area,2666
1987,Canterbury Justice Service Area,8170
1987,Otago Justice Service Area,5774
1987,Southland Justice Service Area,2968
1988,Total Regions,85959
1988,Te Tai Tokerau Justice Service Area,2926
1988,Auckland Justice Service Area,11295
1988,South Auckland Justice Service Area,8400
1988,Waikato Justice Service Area,5858
1988,Bay of Plenty Justice Service Area,3920
1988,Waiariki Justice Service Area,4197
1988,East Coast Justice Service Area,4437
